物品名称	编号	说明
镖局的包裹	47008	华山山脚小茶店寄到西夏的小包裹
镖局的包裹	47009	华山山脚小茶店寄到衡山山脚小茶店的小包裹
镖局的包裹	47010	衡山山脚小茶店寄到大理的小包裹
镖局的包裹	47011	衡山山脚小茶店寄到西夏的小包裹
镖局的包裹	47012	衡山山脚小茶店寄到华山山脚小茶店的小包裹
镖局的包裹	47013	西夏寄到大理的中包裹
镖局的包裹	47014	西夏寄到华山山脚小茶店的中包裹
镖局的包裹	47015	西夏寄到衡山山脚小茶店的中包裹
镖局的包裹	47016	大理寄到西夏的中包裹
镖局的包裹	47017	大理寄到华山山脚小茶店的中包裹
镖局的包裹	47018	大理寄到衡山山脚小茶店的中包裹
镖局的包裹	47019	华山山脚小茶店寄到大理的中包裹
镖局的包裹	47020	华山山脚小茶店寄到西夏的中包裹
镖局的包裹	47021	华山山脚小茶店寄到衡山山脚小茶店的中包裹
镖局的包裹	47022	衡山山脚小茶店寄到大理的中包裹
镖局的包裹	47023	衡山山脚小茶店寄到西夏的中包裹
镖局的包裹	47024	衡山山脚小茶店寄到华山山脚小茶店的中包裹
镖局的包裹	47025	西夏寄到大理的大包裹
镖局的包裹	47026	西夏寄到华山山脚小茶店的大包裹
镖局的包裹	47027	西夏寄到衡山山脚小茶店的大包裹
镖局的包裹	47028	大理寄到西夏的大包裹
镖局的包裹	47029	大理寄到华山山脚小茶店的大包裹
镖局的包裹	47030	大理寄到衡山山脚小茶店的大包裹
镖局的包裹	47031	华山山脚小茶店寄到大理的大包裹
镖局的包裹	47032	华山山脚小茶店寄到西夏的大包裹
镖局的包裹	47033	华山山脚小茶店寄到衡山山脚小茶店的大包裹
镖局的包裹	47034	衡山山脚小茶店寄到大理的大包裹
镖局的包裹	47035	衡山山脚小茶店寄到西夏的大包裹
镖局的包裹	47036	衡山山脚小茶店寄到华山山脚小茶店的大包裹
运镖车	47037	西夏运到大理的镖车
运镖车	47038	西夏运到华山山脚小茶店的镖车
运镖车	47039	西夏运到衡山山脚小茶店的镖车
运镖车	47040	大理运到西夏的镖车
运镖车	47041	大理运到华山山脚小茶店的镖车
运镖车	47042	大理运到衡山山脚小茶店的镖车
运镖车	47043	华山山脚小茶店运到大理的镖车
运镖车	47044	华山山脚小茶店运到西夏的镖车
运镖车	47045	华山山脚小茶店运到衡山山脚小茶店的镖车
运镖车	47046	衡山山脚小茶店运到大理的镖车
运镖车	47047	衡山山脚小茶店运到西夏的镖车
运镖车	47048	衡山山脚小茶店运到华山山脚小茶店的镖车
运镖车	47049	西夏运到大理的镖车队
运镖车	47050	西夏运到华山山脚小茶店的镖车队
运镖车	47051	西夏运到衡山山脚小茶店的镖车队
运镖车	47052	大理运到西夏的镖车队
运镖车	47053	大理运到华山山脚小茶店的镖车队
运镖车	47054	大理运到衡山山脚小茶店的镖车队
运镖车	47055	华山山脚小茶店运到大理的镖车队
运镖车	47056	华山山脚小茶店运到西夏的镖车队
运镖车	47057	华山山脚小茶店运到衡山山脚小茶店的镖车队
运镖车	47058	衡山山脚小茶店运到大理的镖车队
运镖车	47059	衡山山脚小茶店运到西夏的镖车队
运镖车	47060	衡山山脚小茶店运到华山山脚小茶店的镖车队
运镖车	47061	西夏运到大理的镖车大队
运镖车	47062	西夏运到华山山脚小茶店的镖车大队
运镖车	47063	西夏运到衡山山脚小茶店的镖车大队
运镖车	47064	大理运到西夏的镖车大队
运镖车	47065	大理运到华山山脚小茶店的镖车大队
运镖车	47066	大理运到衡山山脚小茶店的镖车大队
运镖车	47067	华山山脚小茶店运到大理的镖车大队
运镖车	47068	华山山脚小茶店运到西夏的镖车大队
运镖车	47069	华山山脚小茶店运到衡山山脚小茶店的镖车大队
运镖车	47070	衡山山脚小茶店运到大理的镖车大队
运镖车	47071	衡山山脚小茶店运到西夏的镖车大队
运镖车	47072	衡山山脚小茶店运到华山山脚小茶店的镖车大队
托送信件	47073	西夏寄到大理的信
托送信件	47074	西夏寄到华山山脚小茶店的信
托送信件	47075	西夏寄到衡山山脚小茶店的信
托送信件	47076	大理寄到西夏的信
托送信件	47077	大理寄到华山山脚小茶店的信
托送信件	47078	大理寄到衡山山脚小茶店的信
托送信件	47079	华山山脚小茶店寄到大理的信
托送信件	47080	华山山脚小茶店寄到西夏的信
托送信件	47081	华山山脚小茶店寄到衡山山脚小茶店的信
托送信件	47082	衡山山脚小茶店寄到大理的信
托送信件	47083	衡山山脚小茶店寄到西夏的信
托送信件	47084	衡山山脚小茶店寄到华山山脚小茶店的信
运镖车	47085	西夏运到大理的镖车大队
运镖车	47086	西夏运到华山山脚小茶店的镖车大队
运镖车	47087	西夏运到衡山山脚小茶店的镖车大队
运镖车	47088	大理运到华山山脚小茶店的镖车大队
运镖车	47089	大理运到衡山山脚小茶店的镖车大队
运镖车	47090	大理运到西夏的镖车大队
镖局的包裹	47091	京城到华山的小包裹
镖局的包裹	47092	京城到衡山的小包裹
镖局的包裹	47093	京城到西夏的小包裹
镖局的包裹	47094	京城到大理的小包裹
镖局的包裹	47095	华山到京城的小包裹
镖局的包裹	47096	衡山到京城的小包裹
镖局的包裹	47097	西夏到京城的小包裹
镖局的包裹	47098	大理到京城的小包裹
镖局的包裹	47099	京城到华山的中包裹
镖局的包裹	47100	京城到衡山的中包裹
镖局的包裹	47101	京城到西夏的中包裹
镖局的包裹	47102	京城到大理的中包裹
镖局的包裹	47103	华山到京城的中包裹
镖局的包裹	47104	衡山到京城的中包裹
镖局的包裹	47105	西夏到京城的中包裹
镖局的包裹	47106	大理到京城的中包裹
镖局的包裹	47107	京城到华山的大包裹
镖局的包裹	47108	京城到衡山的大包裹
镖局的包裹	47109	京城到西夏的大包裹
镖局的包裹	47110	京城到大理的大包裹
镖局的包裹	47111	华山到京城的大包裹
镖局的包裹	47112	衡山到京城的大包裹
镖局的包裹	47113	西夏到京城的大包裹
镖局的包裹	47114	大理到京城的大包裹
运镖车	47115	京城到华山的镖车
运镖车	47116	京城到衡山的镖车
运镖车	47117	京城到西夏的镖车
运镖车	47118	京城到大理的镖车
运镖车	47119	华山到京城的镖车
运镖车	47120	衡山到京城的镖车
运镖车	47121	西夏到京城的镖车
运镖车	47122	大理到京城的镖车
运镖车	47123	京城到华山的镖车队
运镖车	47124	京城到衡山的镖车队
运镖车	47125	京城到西夏的镖车队
运镖车	47126	京城到大理的镖车队
运镖车	47127	华山到京城的镖车队
运镖车	47128	衡山到京城的镖车队
运镖车	47129	西夏到京城的镖车队
运镖车	47130	大理到京城的镖车队
运镖车	47131	京城到华山的镖车大队
运镖车	47132	京城到衡山的镖车大队
运镖车	47133	京城到西夏的镖车大队
运镖车	47134	京城到大理的镖车大队
运镖车	47135	华山到京城的镖车大队
运镖车	47136	衡山到京城的镖车大队
运镖车	47137	西夏到京城的镖车大队
运镖车	47138	大理到京城的镖车大队
托送信件	47139	京城到华山的信件
托送信件	47140	京城到衡山的信件
托送信件	47141	京城到西夏的信件
托送信件	47142	京城到大理的信件
托送信件	47143	华山到京城的信件
托送信件	47144	衡山到京城的信件
托送信件	47145	西夏到京城的信件
托送信件	47146	大理到京城的信件
运镖车	47147	京城护卫到华山的镖车大队
运镖车	47148	京城护卫到衡山的镖车大队
运镖车	47149	京城护卫到西夏的镖车大队
运镖车	47150	京城护卫到大理的镖车大队
运镖车	47151	华山护卫到京城的镖车大队
运镖车	47152	衡山护卫到京城的镖车大队
运镖车	47153	西夏护卫到京城的镖车大队
运镖车	47154	大理护卫到京城的镖车大队
运镖车	47155	华山护卫到大理的镖车大队
运镖车	47156	华山护卫到西夏的镖车大队
运镖车	47157	华山护卫到衡山的镖车大队
运镖车	47158	衡山护卫到大理的镖车大队
运镖车	47159	衡山护卫到西夏的镖车大队
运镖车	47160	衡山护卫到华山的镖车大队
运镖车	47161	扬州护卫到京城的镖车大队
托送信件	47162	扬州到京城的信件
镖局的包裹	47163	扬州到京城的大包裹
	47164	
	47165	
	47166	
	47167	
	47168	
	47169	
	47170	
	47171	
玉蜂笛	48001	能招唤玉蜂
赶蛇杖	48002	能召出毒蛇
自动娃娃	48003	能让替你自动攻击的神奇宝贝
攻城器	48004	在总坛攻防战中使用，会主动攻击建筑物，能被破坏，一台只能使用一次。
召唤狼烟	48005	遇到危难时，可以请护卫出来帮忙，一场战斗只能用一次，最多能请200次
龟甲车	48006	可使用五次，于攻坛时使用，每召唤一次，则可使用次数减一，但龟甲车于攻防中死亡，可再召唤，直到五次使用完毕为止。
烟雾弹	48007	在战斗中使用的话可以百分之百逃跑，一个可以使用200次
克晕丸	48008	中华药局企宣研发室发明，可使用25次，每使用一次则游戏时间一个时辰内，将不会昏迷
信号弹	48009	在海上消耗完所有物资不能动弹时，可以把船平安送回港口。可用10次。
免费元气卷	48010	网龙企宣所创，凭此卷可至客栈，流浪商人或武馆处免费休息10次
守护天使	48011	网龙企宣所创，使用后可以把自己的尸骨拉到自己脚边，一只可使用10次
方便袋	48012	可随时随地使用钱庄的功能50次
帐棚	48013	可随时随地使用完全恢复精、气、神、内力、饱食度与饮水度，使用次数50次
睡袋	48014	可随时随地使用完全恢复精、气、神、内力、饱食度与饮水度，使用次数30次
随身钱庄	48015	可随时随地使用钱庄的功能50次
召唤灵符	48016	招唤灵符
强力龟甲车	48017	强力龟甲车
变身丹	48018	变身丹
幻身符	48019	幻身符
隐身丹	48020	隐身丹
千里定位仪	48021	千里定位仪
挪动时空仪	48022	挪动时空仪
许愿红蛋	48023	一生最多能吃三颗，吃了之后能预先将生日时随机加的属性加到自己所指定的属性，但等到下次生日时就不会在加属性了。
订书器	48024	可以将任何20本残章合订成一本秘本
劳动加倍丹	48025	吃了之后练技能熟练度加倍，但是进阶技能的农夫、捕鱼、伐木、采矿四项无法使用。
无敌天书(空)	48026	无敌天书(空)
无敌天书(满)	48027	无敌天书(满)
书本订书器	48028	书本订书器
任意属性丹	48029	可指定增加〝任意〞属性1点。一生最多只可使用10颗。
日宝盒	48030	可以修复日系的武器与装备
月光宝盒	48031	可以修复月系的武器与装备
星光宝盒	48032	可以修复星系的武器与装备
锡金百宝袋	48033	锡金百宝袋
七彩玄玉	48034	七彩玄玉
学点清除器	48035	只有炼金术士能用，能将满的记忆天书变空的
江湖追杀令	48036	使用后可以直接飞到所欲追杀对象之身边(限定场景)
小玄玉	48037	小玄玉
攻城车	48038	攻城车
强弩车	48039	强弩车
七彩璃火晶	48040	攻击力提升200，一次持续2小时，共可以使用29次
冰系修复盒	48041	可以修复冰系的武器与装备
三色璃火石	48042	攻击力提升20，一次持续2小时，共可以使用29次
五色璃火晶	48043	攻击力提升50，一次持续2小时，共可以使用29次
一级霹雳真诀	48044	可增加真武系统的破甲霹雳式1点，效果值已达上限无法使用，若使用后超过上限多余点数不予退还。不可交易。
二级霹雳真诀	48045	可增加真武系统的破甲霹雳式2点，效果值已达上限无法使用，若使用后超过上限多余点数不予退还。不可交易。
三级霹雳真诀	48046	可增加真武系统的破甲霹雳式3点，效果值已达上限无法使用，若使用后超过上限多余点数不予退还。不可交易。
四级霹雳真诀	48047	可增加真武系统的破甲霹雳式4点，效果值已达上限无法使用，若使用后超过上限多余点数不予退还。不可交易。
五级霹雳真诀	48048	可增加真武系统的破甲霹雳式5点，效果值已达上限无法使用，若使用后超过上限多余点数不予退还。不可交易。
一级金钟真诀	48049	可增加真武系统的玉锁金钟诀1点，效果值已达上限无法使用，若使用后超过上限多余点数不予退还。不可交易。
二级金钟真诀	48050	可增加真武系统的玉锁金钟诀2点，效果值已达上限无法使用，若使用后超过上限多余点数不予退还。不可交易。
三级金钟真诀	48051	可增加真武系统的玉锁金钟诀3点，效果值已达上限无法使用，若使用后超过上限多余点数不予退还。不可交易。
四级金钟真诀	48052	可增加真武系统的玉锁金钟诀4点，效果值已达上限无法使用，若使用后超过上限多余点数不予退还。不可交易。
五级金钟真诀	48053	可增加真武系统的玉锁金钟诀5点，效果值已达上限无法使用，若使用后超过上限多余点数不予退还。不可交易。
一级爆击真诀	48054	可增加真武系统的掷象爆击篇1点，效果值已达上限无法使用，若使用后超过上限多余点数不予退还。不可交易。
二级爆击真诀	48055	可增加真武系统的掷象爆击篇2点，效果值已达上限无法使用，若使用后超过上限多余点数不予退还。不可交易。
三级爆击真诀	48056	可增加真武系统的掷象爆击篇3点，效果值已达上限无法使用，若使用后超过上限多余点数不予退还。不可交易。
四级爆击真诀	48057	可增加真武系统的掷象爆击篇4点，效果值已达上限无法使用，若使用后超过上限多余点数不予退还。不可交易。
五级爆击真诀	48058	可增加真武系统的掷象爆击篇5点，效果值已达上限无法使用，若使用后超过上限多余点数不予退还。不可交易。
一级闪避真诀	48059	可增加真武系统的御风闪避经1点，效果值已达上限无法使用，若使用后超过上限多余点数不予退还。不可交易。
二级闪避真诀	48060	可增加真武系统的御风闪避经2点，效果值已达上限无法使用，若使用后超过上限多余点数不予退还。不可交易。
三级闪避真诀	48061	可增加真武系统的御风闪避经3点，效果值已达上限无法使用，若使用后超过上限多余点数不予退还。不可交易。
四级闪避真诀	48062	可增加真武系统的御风闪避经4点，效果值已达上限无法使用，若使用后超过上限多余点数不予退还。不可交易。
五级闪避真诀	48063	可增加真武系统的御风闪避经5点，效果值已达上限无法使用，若使用后超过上限多余点数不予退还。不可交易。
一级反击真诀	48064	可增加真武系统的凌云反击式1点，效果值已达上限无法使用，若使用后超过上限多余点数不予退还。不可交易。
二级反击真诀	48065	可增加真武系统的凌云反击式2点，效果值已达上限无法使用，若使用后超过上限多余点数不予退还。不可交易。
三级反击真诀	48066	可增加真武系统的凌云反击式3点，效果值已达上限无法使用，若使用后超过上限多余点数不予退还。不可交易。
四级反击真诀	48067	可增加真武系统的凌云反击式4点，效果值已达上限无法使用，若使用后超过上限多余点数不予退还。不可交易。
五级反击真诀	48068	可增加真武系统的凌云反击式5点，效果值已达上限无法使用，若使用后超过上限多余点数不予退还。不可交易。
一级天悟真诀	48069	可增加真武系统的玄修天悟篇1点，效果值已达上限无法使用，若使用后超过上限多余点数不予退还。不可交易。
二级天悟真诀	48070	可增加真武系统的玄修天悟篇2点，效果值已达上限无法使用，若使用后超过上限多余点数不予退还。不可交易。
三级天悟真诀	48071	可增加真武系统的玄修天悟篇3点，效果值已达上限无法使用，若使用后超过上限多余点数不予退还。不可交易。
四级天悟真诀	48072	可增加真武系统的玄修天悟篇4点，效果值已达上限无法使用，若使用后超过上限多余点数不予退还。不可交易。
五级天悟真诀	48073	可增加真武系统的玄修天悟篇5点，效果值已达上限无法使用，若使用后超过上限多余点数不予退还。不可交易。
一级属性真诀	48074	可增加真武系统的傲天属性诀1点，效果值已达上限无法使用，若使用后超过上限多余点数不予退还。不可交易。
二级属性真诀	48075	可增加真武系统的傲天属性诀2点，效果值已达上限无法使用，若使用后超过上限多余点数不予退还。不可交易。
三级属性真诀	48076	可增加真武系统的傲天属性诀3点，效果值已达上限无法使用，若使用后超过上限多余点数不予退还。不可交易。
四级属性真诀	48077	可增加真武系统的傲天属性诀4点，效果值已达上限无法使用，若使用后超过上限多余点数不予退还。不可交易。
五级属性真诀	48078	可增加真武系统的傲天属性诀5点，效果值已达上限无法使用，若使用后超过上限多余点数不予退还。不可交易。
真诀1	48079	真诀1
真诀2	48080	真诀2
真诀3	48081	真诀3
真诀4	48082	真诀4
真诀5	48083	真诀5
真诀1	48084	真诀1
真诀2	48085	真诀2
真诀3	48086	真诀3
真诀4	48087	真诀4
真诀5	48088	真诀5
真诀1	48089	真诀1
真诀2	48090	真诀2
真诀3	48091	真诀3
真诀4	48092	真诀4
真诀5	48093	真诀5
真诀1	48094	真诀1
真诀2	48095	真诀2
真诀3	48096	真诀3
真诀4	48097	真诀4
真诀5	48098	真诀5
真诀1	48099	真诀1
真诀2	48100	真诀2
真诀3	48101	真诀3
真诀4	48102	真诀4
真诀5	48103	真诀5
经典新图1	48104	经典新图1
经典新图2	48105	经典新图2
经典新图3	48106	经典新图3
经典新图4	48107	经典新图4
经典新图5	48108	经典新图5
经典新图6	48109	经典新图6
经典新图7	48110	经典新图7
经典新图8	48111	经典新图8
经典新图9	48112	经典新图9
经典新图10	48113	经典新图10
经典新图11	48114	经典新图11
经典新图12	48115	经典新图12
经典新图13	48116	经典新图13
经典新图14	48117	经典新图14
经典新图15	48118	经典新图15
经典新图16	48119	经典新图16
经典新图17	48120	经典新图17
经典新图18	48121	经典新图18
经典新图19	48122	经典新图19
经典新图20	48123	经典新图20
经典新图21	48124	经典新图21
经典新图22	48125	经典新图22
经典新图23	48126	经典新图23
经典新图24	48127	经典新图24
经典新图25	48128	经典新图25
经典新图26	48129	经典新图26
经典新图27	48130	经典新图27
经典新图28	48131	经典新图28
经典新图29	48132	经典新图29
经典新图30	48133	经典新图30
经典新图31	48134	经典新图31
经典新图32	48135	经典新图32
经典新图33	48136	经典新图33
经典新图34	48137	经典新图34
经典新图35	48138	经典新图35
经典新图36	48139	经典新图36
经典新图37	48140	经典新图37
经典新图38	48141	经典新图38
经典新图39	48142	经典新图39
经典再现勋章	48143	欢庆商城开幕，消费满额获得的物品。收集一定数量可至指令/杂项/兑换选单兑换各式虚宝。
经典新图41	48144	经典新图41
经典新图42	48145	经典新图42
经典新图43	48146	经典新图43
经典新图44	48147	经典新图44
经典新图45	48148	经典新图45
经典新图46	48149	经典新图46
经典新图47	48150	经典新图47
经典新图48	48151	经典新图48
经典新图49	48152	经典新图49
经典新图50	48153	经典新图50
仲夏纪念勋章	48154	仲夏好礼送，消费满额获得的物品。收集一定数量可至指令/杂项/兑换选单兑换各式虚宝。
海宴大餐(帝王蟹)	48155	消费满额获得的物品。收集一定数量可至指令/杂项/兑换选单兑换各式虚宝。
海宴大餐(河豚)	48156	消费满额获得的物品。收集一定数量可至指令/杂项/兑换选单兑换各式虚宝。
海宴大餐(海胆)	48157	消费满额获得的物品。收集一定数量可至指令/杂项/兑换选单兑换各式虚宝。
海宴大餐(龙虾)	48158	消费满额获得的物品。收集一定数量可至指令/杂项/兑换选单兑换各式虚宝。
圣武碎片	48159	可至指令/杂项/兑换选单兑换物品，10个碎片可换圣武戒，20个碎片可换圣武护颈。
天勤碎片	48160	可至指令/杂项/兑换选单兑换物品，10个碎片可换天勤之魂。
圣月勋章	48161	收集一定数量可至指令/杂项/兑换选单兑换各式虚宝。
青龙之心	48162	制作青龙系列装备的材料之一。
南瓜勋章	48163	收集一定数量可至指令/杂项/兑换选单兑换各式虚宝。
拐杖糖果	48164	收集一定数量可至指令/杂项/兑换选单兑换各式虚宝。
开运金币	48165	象征幸运的金币，拥有者在新的一年将带来好运。可至指令/杂项/兑换选单兑换各式虚宝。此物品不可交易。
金元宝	48166	收集一定数量可至指令/杂项/兑换选单兑换各式虚宝。
白虎之心	48167	制作白虎系列装备的材料之一。
端午龙形勋章	48168	收集一定数量可至指令/杂项/兑换选单兑换各式虚宝。
霹雳玄晶	48169	收集一定数量可至指令/杂项/兑换选单兑换霹雳玄丹。
金钟玄晶	48170	收集一定数量可至指令/杂项/兑换选单兑换金钟玄丹。
爆击玄晶	48171	收集一定数量可至指令/杂项/兑换选单兑换爆击玄丹。
闪避玄晶	48172	收集一定数量可至指令/杂项/兑换选单兑换闪避玄丹。
天悟玄晶	48173	收集一定数量可至指令/杂项/兑换选单兑换天悟玄丹。
反击玄晶	48174	收集一定数量可至指令/杂项/兑换选单兑换反击玄丹。
朱雀之心	48175	制作朱雀系列装备的材料之一。
中秋黄金宝盒	48176	有机会获得中记忆天书(空)、玄玉、天王保命丹、巧克力、玫瑰花、波斯菊…等虚拟宝物其中一种。
圣诞黄金宝袋	48177	有机会获得记忆天书(空)、玄玉、天王保命丹、银两兑换卷(小)、拐杖糖、狂暴丹…等虚拟宝物其中一种。
圣诞快乐帽	48178	圣诞快乐帽。圣诞道具可至指令/杂项/兑换选单兑换好礼。
圣诞快乐袜	48179	圣诞快乐袜。圣诞道具可至指令/杂项/兑换选单兑换好礼。
圣诞快乐铃铛	48180	圣诞快乐铃铛。圣诞道具可至指令/杂项/兑换选单兑换好礼。
玄天舍利 (金)	48181	搭配正确的内丹可在内丹聚劲时额外增加攻击力1000
玄天舍利(木)	48182	搭配正确的内丹可在内丹聚劲时额外增加攻击力1000
玄天舍利(水)	48183	搭配正确的内丹可在内丹聚劲时额外增加攻击力1000
玄天舍利(火)	48184	搭配正确的内丹可在内丹聚劲时额外增加攻击力1000
玄天舍利(土)	48185	搭配正确的内丹可在内丹聚劲时额外增加攻击力1000
玄天石(金)	48186	收集10颗玄天石(金)可以找玄天活佛炼制玄天舍利(金)
玄天石(木)	48187	收集10颗玄天石(木)可以找玄天活佛炼制玄天舍利(木)
玄天石(水)	48188	收集10颗玄天石(水)可以找玄天活佛炼制玄天舍利(水)
玄天石(火)	48189	收集10颗玄天石(火)可以找玄天活佛炼制玄天舍利(火)
玄天石(土)	48190	收集10颗玄天石(土)可以找玄天活佛炼制玄天舍利(土)
玄晶石	48191	使用后可随机获得一种属性的玄晶石
天晶石	48192	使用后可随机获得一种属性的天晶石
玄晶石(金)	48193	20个玄晶石(金)+10个天晶石(金)，搭配一定数量菩提珠可合成玄天石(金)
玄晶石(木)	48194	20个玄晶石(木)+10个天晶石(木)，搭配一定数量菩提珠可合成玄天石(木)
玄晶石(水)	48195	20个玄晶石(水)+10个天晶石(水)，搭配一定数量菩提珠可合成玄天石(水)
玄晶石(火)	48196	20个玄晶石(火)+10个天晶石(火)，搭配一定数量菩提珠可合成玄天石(火)
玄晶石(土)	48197	20个玄晶石(土)+10个天晶石(土)，搭配一定数量菩提珠可合成玄天石(土)
天晶石(金)	48198	20个玄晶石(金)+10个天晶石(金)，搭配一定数量菩提珠可合成玄天石(金)
天晶石(木)	48199	20个玄晶石(木)+10个天晶石(木)，搭配一定数量菩提珠可合成玄天石(木)
天晶石(水)	48200	20个玄晶石(水)+10个天晶石(水)，搭配一定数量菩提珠可合成玄天石(水)
天晶石(火)	48201	20个玄晶石(火)+10个天晶石(火)，搭配一定数量菩提珠可合成玄天石(火)
天晶石(土)	48202	20个玄晶石(土)+10个天晶石(土)，搭配一定数量菩提珠可合成玄天石(土)
玄武之心	48203	制作玄武系列装备的材料之一。
新年好彩头礼盒	48204	有机会获得霹雳玄晶、真武残页、玲珑七巧丹、记忆天书(空)、加倍晶、替身娃娃…等其中一种。
感恩反馈宝袋	48205	有机会获得精灵斗篷、银两兑换卷(小)、中记忆天书(满)、千年桃花木炭、玄铁…等其中一种。
鸿运金币	48206	象征幸运的金币，拥有者在新的一年将带来好运。可至指令/杂项/兑换选单兑换各式虚宝。此物品不可交易。
端午鸿运宝盒	48207	有机会获得八宝肉粽、豆沙粽、中记忆天书(满)、玄铁、玄冰离火晶、玄玉…等其中一种。
中秋团圆宝盒	48208	有机会获得豆沙粽*2、中记忆天书（满)、玄铁、玄冰离火晶、定性珠、玄玉…等其中一种。
圣诞狂欢宝袋	48209	有机会获得圣诞节变身丹*2、中记忆天书（满)、玄铁、玄冰离火晶、定性珠、玄玉…等其中一种。
新春鸿运宝盒	48210	有机会获得网龙银票*2、中记忆天书(满)、玄铁、玄冰离火晶、玄玉…等其中一种。
端午好运礼	48211	有机会获得八宝肉粽、豆沙粽、中记忆天书(满)、玄铁、玄冰离火晶、玄玉…等其中一种。
万家香团圆宝盒	48212	有机会获得月饼、菩提珠、玄铁、一级爆击真诀、一级闪避真诀、玄冰离火晶…等其中一种。
响叮当宝盒	48213	有机会获得拐杖糖、菩提珠、玄铁、一级爆击真诀、一级闪避真诀、玄冰离火晶…等其中一种。
新春报喜宝盒	48214	有机会获得网龙银票*2、中记忆天书(满)、玄铁、玄冰离火晶、玄玉…等其中一种。
白蟒鞭法秘籍	48215	九阴真经记载之精妙武功，白蟒鞭法狠辣至极，乃武林失传绝技,极长的白蟒鞭克敌制胜。
端午鸿运礼	48216	有机会获得八宝肉粽、豆沙粽、中记忆天书(满)、玄铁、玄冰离火晶、玄玉…等其中一种。
巅峰金牌	48217	巅峰榜第一名的象征权杖，携带可增加血量15000、全属性+3，仅可透过安交给予他人。与其他巅峰权杖不累加效果。
巅峰银牌	48218	巅峰榜第二名的象征权杖，携带可增加血量10000、全属性+2，仅可透过安交给予他人。与其他巅峰权杖不累加效果。
巅峰铜牌	48219	巅峰榜第三名的象征权杖，携带可增加血量5000、全属性+1，仅可透过安交给予他人。与其他巅峰权杖不累加效果。
中秋团圆礼	48220	有机会获得月饼、菩提珠、玄铁、一级爆击真诀、一级闪避真诀、玄冰离火晶…等其中一种。
圣诞平安礼	48221	有机会获得拐杖糖、菩提珠、玄铁、一级爆击真诀、一级闪避真诀、玄冰离火晶…等其中一种。
金犬报喜宝盒	48222	有机会获得网龙银票*2、中记忆天书(满)、玄铁、玄冰离火晶、玄玉…等其中一种。
铠神(绑)	48223	使用后时效为6小时，但下线就消失，防加200。不可交易。
武神(绑)	48224	使用后时效为6小时，但下线就消失，攻加100。不可交易。
炽天使神像(绑)	48225	西方传来的神奇物品，只要带在身上就能让防御力增加210，此物品不可存钱装。不可交易。
七彩璃火晶(绑)	48226	攻击力提升200，一次持续2小时。不可交易。
逍遥御风典籍	48227	记载着『逍遥派』镇派绝学，只要学得此诀的一两成便已独步武林。
	48228	
	48229	
	48230	
	48231	
	48232	
	48233	
	48234	
	48235	
	48236	
	48237	
	48238	
	48239	
	48240	
	48241	
	48242	
	48243	
	48244	
	48245	
端午幸运豪礼	48246	有机会获得八宝肉粽、豆沙粽、中记忆天书(满)、玄铁、玄冰离火晶、玄玉…等其中一种。
会心天晶	48247	收集一定数量可至指令/杂项/兑换选单兑换会心天丹。
乾坤碎玉	48248	收集一定数量可至指令/杂项/兑换选单兑换乾坤金玉。
上古进阶石	48249	至尊上古武器进行突破及进阶所需材料。
一阶上古升星石	48250	至尊上古武器进行一阶升星所需材料。
二阶上古升星石	48251	至尊上古武器进行二阶升星所需材料。
三阶上古升星石	48252	至尊上古武器进行三阶升星所需材料。
四阶上古升星石	48253	至尊上古武器进行四阶升星所需材料。
五阶上古升星石	48254	至尊上古武器进行五阶升星所需材料。
一阶上古防爆符	48255	至尊上古武器进行一阶升星失败时可防止星数归0一次。
二阶上古防爆符	48256	至尊上古武器进行二阶升星失败时可防止星数归0一次。
三阶上古防爆符	48257	至尊上古武器进行三阶升星失败时可防止星数归0一次。
四阶上古防爆符	48258	至尊上古武器进行四阶升星失败时可防止星数归0一次。
五阶上古防爆符	48259	至尊上古武器进行五阶升星失败时可防止星数归0一次。
月圆团圆礼	48260	有机会获得月饼、菩提珠、玄铁、一级爆击真诀、一级闪避真诀、玄冰离火晶…等其中一种。
	48261	
	48262	
	48263	
金猪开运红包	48264	有机会获得网龙银票*2、中记忆天书(满)、玄铁、玄冰离火晶、玄玉…等其中一种。
	48265	
月圆人团圆礼盒	48501	有机会获得三级霹雳真诀、三级爆击真诀、龙攻石印、黄金丹、记忆天书(空)、玄玉…等虚拟宝物其中一种。
庆中秋万家香宝袋	48502	有机会获得五级天悟真诀、五级金钟真诀、武曲周天丹(大)、精致玄玉、天悟卷匣兑换卷…等虚拟宝物其中一种。
经典光辉宝袋	48503	有机会获得记忆天书组合(小)、天勤仙丹、迷迭香精油聚宝盆、弱化药剂、正露丸、爆击丹…等宝物其中一种。
万圣惊喜宝袋	48504	有机会获得记忆天书组合(小)、头极明符、万圣捣蛋反馈券、弱化药剂、黄金丹、铁血丹心…等宝物其中一种。
南瓜勋章宝袋	48505	有机会获得1个、2个、5个、10个南瓜勋章其中一种。
万圣纪念宝袋	48506	有机会获得金钟仙丹、迷迭香精油聚宝盆、天勤丹、经典旧书堆、怀念石、实战金牌、名声丹…等其中一种。
万圣一元惊喜组合	48507	使用后可获得万圣一元惊喜*50。
万圣一元惊喜	48508	有机会获得经典至尊宝袋、网龙银票、武林帖兑换券、提神醒脑丸、黄金丹、威士忌…等其中一种。
